mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
ladder_mx_full,vec1d,fz,32768,2048,1e-6,2.24669e-06,0.000325365,1.73593e-07,fp32=50;mx_fp16=40;e2m1=24;fp64=16;mx_e4m3=6;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_fz
ladder_mx_full,vec1d,fz,32768,2048,1e-7,6.05634e-07,8.77078e-05,1.54112e-07,fp32=61;mx_fp16=35;e2m1=19;fp64=16;mx_e4m3=5;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_fz
ladder_mx_full,vec1d,fz,32768,2048,1e-8,4.07898e-08,5.90717e-06,1.79086e-09,fp64=57;fp32=53;e2m1=15;mx_fp16=6;mx_e4m3=5;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_fz
ladder_mx_full,vec1d,fz,40960,4096,1e-5,8.2506e-06,0.00148321,6.52529e-07,fp32=21;fp64=10;mx_fp16=9;e2m1=8;mx_e4m3=7;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,40960,4096,1e-6,1.0826e-06,0.000194619,3.28958e-07,fp32=28;fp64=10;mx_fp16=9;e2m1=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,40960,4096,1e-7,1.04745e-06,0.000188301,3.26643e-07,fp32=30;fp64=10;mx_fp16=7;e2m1=5;mx_e4m3=3;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,40960,4096,1e-8,1.19972e-08,2.15674e-06,8.9685e-10,fp64=31;fp32=16;mx_fp16=3;e2m1=3;mx_e4m3=2;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,65536,4096,1e-5,4.46628e-06,0.00127298,9.67666e-07,fp32=42;mx_e4m3=40;e2m1=38;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,65536,4096,1e-6,7.81969e-07,0.000222877,2.46421e-07,fp32=42;mx_fp16=40;e2m1=38;fp64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,65536,4096,1e-7,7.8015e-07,0.000222359,2.45848e-07,fp32=42;mx_fp16=40;e2m1=30;fp64=16;mx_e4m3=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,fz,65536,4096,1e-8,8.56168e-09,2.44025e-06,1.13054e-09,fp64=58;fp32=40;e2m1=30;mx_fp16=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_vec1d_fz
ladder_mx_full,vec1d,gu,32768,2048,1e-5,5.7099e-05,0.00826907,2.40058e-06,fp32=50;e2m1=31;mx_e4m3=29;fp64=16;mx_fp16=10;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_gu
ladder_mx_full,vec1d,gu,32768,2048,1e-6,2.24669e-06,0.000325365,1.73593e-07,fp32=50;mx_fp16=40;e2m1=24;fp64=16;mx_e4m3=6;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_rerun_32k/results.csv,ladder_full_gu
