mode	N	nb	eps	M	tiles_total	FP64_tiles	FP32_tiles	FP16_tiles	MXFP16_tiles	MXFP8_tiles	MXFP4_tiles	FP8_plain_tiles	FP64_gb	FP32_gb	FP16_gb	MXFP16_gb	MXFP8_gb	MXFP4_gb	FP8_plain_gb	Scale_gb	total_gb
fp8	40960	4096	1e-8	10	55	31	16	3	0	0	0	5	3.250153	1.000000	0.093750	0.000000	0.000000	0.000000	0.078125	0.000000	4.422028
fp8	65536	4096	1e-5	16	136	16	42	0	0	0	0	78	1.000244	2.625000	0.000000	0.000000	0.000000	0.000000	1.218750	0.000000	4.843994
fp8	65536	4096	1e-6	16	136	16	42	40	0	0	0	38	1.000244	2.625000	1.250000	0.000000	0.000000	0.000000	0.593750	0.000000	5.468994
fp8	65536	4096	1e-7	16	136	16	42	40	0	0	0	38	1.000244	2.625000	1.250000	0.000000	0.000000	0.000000	0.593750	0.000000	5.468994
fp8	65536	4096	1e-8	16	136	58	40	8	0	0	0	30	6.250244	2.500000	0.250000	0.000000	0.000000	0.000000	0.468750	0.000000	9.468994
fp8	81920	4096	1e-5	20	210	20	62	34	0	0	0	94	1.250305	3.875000	1.062500	0.000000	0.000000	0.000000	1.468750	0.000000	7.656555
fp8	81920	4096	1e-6	20	210	20	86	41	0	0	0	63	1.250305	5.375000	1.281250	0.000000	0.000000	0.000000	0.984375	0.000000	8.890930
fp8	81920	4096	1e-7	20	210	39	79	42	0	0	0	50	3.625305	4.937500	1.312500	0.000000	0.000000	0.000000	0.781250	0.000000	10.656555
fp8	81920	4096	1e-8	20	210	76	72	26	0	0	0	36	8.250305	4.500000	0.812500	0.000000	0.000000	0.000000	0.562500	0.000000	14.125305
fp8	98304	4096	1e-5	24	300	24	101	24	0	0	0	151	1.500366	6.312500	0.750000	0.000000	0.000000	0.000000	2.359375	0.000000	10.922241
fp8	98304	4096	1e-6	24	300	24	111	69	0	0	0	96	1.500366	6.937500	2.156250	0.000000	0.000000	0.000000	1.500000	0.000000	12.094116
fp8	98304	4096	1e-7	24	300	56	101	69	0	0	0	74	5.500366	6.312500	2.156250	0.000000	0.000000	0.000000	1.156250	0.000000	15.125366
fp8	98304	4096	1e-8	24	300	117	92	36	0	0	0	55	13.125366	5.750000	1.125000	0.000000	0.000000	0.000000	0.859375	0.000000	20.859741
fp8	122880	4096	1e-5	30	465	30	128	58	0	0	0	249	1.875458	8.000000	1.812500	0.000000	0.000000	0.000000	3.890625	0.000000	15.578583
fp8	122880	4096	1e-6	30	465	30	171	84	0	0	0	180	1.875458	10.687500	2.625000	0.000000	0.000000	0.000000	2.812500	0.000000	18.000458
fp8	122880	4096	1e-7	30	465	86	140	92	0	0	0	147	8.875458	8.750000	2.875000	0.000000	0.000000	0.000000	2.296875	0.000000	22.797333
fp8	122880	4096	1e-8	30	465	130	155	75	0	0	0	105	14.375458	9.687500	2.343750	0.000000	0.000000	0.000000	1.640625	0.000000	28.047333
ladder_ieee_only	20480	4096	1e-5	5	15	5	9	0	0	0	0	1	0.312576	0.562500	0.000000	0.000000	0.000000	0.000000	0.015625	0.000000	0.890701
ladder_ieee_only	20480	4096	1e-6	5	15	5	9	0	0	0	0	1	0.312576	0.562500	0.000000	0.000000	0.000000	0.000000	0.015625	0.000000	0.890701
ladder_ieee_only	20480	4096	1e-7	5	15	5	10	0	0	0	0	0	0.312576	0.625000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.937576
