mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
ladder_mx_full,MX,gu,65536,4096,1e-6,7.81969e-07,0.000222877,2.46421e-07,FP32=42;MXFP16=40;MXFP4=38;FP64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,MX,gu,65536,4096,1e-7,7.8015e-07,0.000222359,2.45848e-07,FP32=42;MXFP16=40;MXFP4=30;FP64=16;MXFP8=8;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_full,MX,gu,65536,4096,1e-8,8.56168e-09,2.44025e-06,1.13054e-09,FP64=58;FP32=40;MXFP4=30;MXFP16=8;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_vec1d_gu
ladder_mx_staircase,tile,fz,32768,2048,1e-5,1.45229e-05,0.0021032,1.93966e-06,FP32=63;MXFP8=32;MXFP4=25;FP64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,32768,2048,1e-6,2.57456e-06,0.000372847,1.49567e-07,FP32=94;MXFP4=22;FP64=16;MXFP8=4;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,32768,2048,1e-7,6.43986e-07,9.3262e-05,1.53442e-07,FP32=98;MXFP4=17;FP64=16;MXFP8=5;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,32768,2048,1e-8,3.13612e-08,4.54172e-06,2.28094e-09,FP32=62;FP64=57;MXFP4=15;MXFP8=2;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-5,1.34141e-05,0.00241145,2.24614e-06,FP32=100;MXFP4=62;MXFP8=28;FP64=20;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-6,2.51323e-06,0.000451804,3.23474e-07,FP32=133;MXFP4=50;FP64=20;MXFP8=7;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-7,4.1223e-07,7.41067e-05,9.40329e-08,FP32=121;FP64=39;MXFP4=31;MXFP8=19;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,2048,1e-8,1.30616e-08,2.34808e-06,1.5724e-09,FP32=104;FP64=76;MXFP4=23;MXFP8=7;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-5,1.10047e-05,0.00197832,1.66767e-06,FP32=31;FP64=10;MXFP4=8;MXFP8=6;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-6,1.56668e-06,0.000281643,3.33289e-07,FP32=37;FP64=10;MXFP4=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-7,1.07258e-06,0.000192819,3.2649e-07,FP32=37;FP64=10;MXFP4=5;MXFP8=3;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,40960,4096,1e-8,1.4096e-08,2.53405e-06,2.27123e-09,FP64=31;FP32=19;MXFP4=3;MXFP8=2;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,65536,4096,1e-5,1.56446e-05,0.00445904,2.62667e-06,FP32=42;MXFP8=40;MXFP4=38;FP64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
ladder_mx_staircase,tile,fz,65536,4096,1e-6,7.64317e-07,0.000217846,2.45925e-07,FP32=82;MXFP4=38;FP64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/mx_staircase_tile_gt20k/results.csv,mx_staircase_tile_fz
